id;name;birth_day;gender;car_class;license_plate;city;account_creation;account_status
000000000101;Inês Campos;16/06/1967;F;green;14-68-LR;Faro;26/01/2021;active
000000000102;Matilde Araújo;30/05/1967;F;green;NG-67-34;Braga;19/02/2017;active
000000000103;Joana Neto;14/05/1994;F;green;XI-93-GO;Braga;10/06/2016;active
000000000104;Kevin Reis;12/12/1971;M;basic;83-46-JS;Faro;16/12/2019;active
000000000105;Luís Rocha-Fernandes;02/05/1960;M;premium;BT-52-54;Porto;18/10/2017;active
000000000106;Luísa Lourenço;19/01/1975;F;basic;68-25-ME;Lisboa;02/08/2020;active
000000000107;Marcos Alves;10/06/2000;M;basic;OM-61-33;Braga;14/05/2020;active
000000000108;Ivo Valente;01/04/1989;M;green;69-17-BU;Braga;29/09/2012;inactive
000000000109;Isabel do Morais;19/11/1970;F;green;64-10-DH;Porto;20/06/2010;active
000000000110;Alexandra Pires;05/11/1983;F;basic;XF-88-71;Braga;20/12/2020;active
000000000111;Isabela Baptista;04/04/1961;F;green;JI-70-AF;Braga;12/10/2020;active
000000000112;Margarida Vaz;14/01/1971;F;premium;LN-89-54;Braga;29/03/2010;active
000000000113;Mélanie Barbosa;25/08/1999;F;green;IY-81-28;Braga;07/08/2020;active
000000000114;Luciana da Valente;01/06/1977;F;basic;XN-88-NL;Lisboa;11/10/2020;active
000000000115;Emília Freitas;28/08/1951;F;premium;90-36-QO;Setúbal;05/08/2011;active
000000000116;Diogo Andrade;16/11/1982;M;premium;CI-98-CI;Porto;26/05/2013;active
000000000117;Laura Oliveira;22/07/1989;F;basic;NA-57-19;Porto;08/09/2020;active
000000000118;Dinis Jesus;25/10/1970;M;green;VX-62-04;Faro;15/09/2011;active
000000000119;Mateus Rodrigues;07/01/1963;M;green;55-25-KI;Lisboa;20/10/2017;inactive
000000000120;Margarida Valente;01/11/1964;F;basic;92-KS-70;Setúbal;19/05/2019;active
000000000121;Mia do Magalhães;18/08/1962;F;green;22-52-QI;Faro;20/11/2021;active
000000000122;Lucas Soares;23/02/1966;M;premium;91-ME-19;Braga;15/07/2012;active
000000000123;Daniela Neves-Paiva;09/10/1983;F;basic;12-MB-93;Braga;20/03/2021;active
000000000124;José Carvalho;11/03/1962;M;premium;PY-77-97;Braga;15/04/2017;active
000000000125;Júlia-Carolina Pinto;17/04/1983;F;green;HN-95-89;Setúbal;06/04/2011;active
000000000126;António Rodrigues;04/12/1973;M;basic;08-71-AZ;Faro;23/12/2016;active
000000000127;Ricardo Machado;29/05/1974;M;premium;76-VZ-89;Faro;19/05/2015;active
000000000128;Ismael de Moura;25/11/1985;M;basic;KL-17-XH;Braga;01/11/2018;active
000000000129;Rúben Vicente;14/06/1984;M;green;96-LK-93;Lisboa;25/10/2021;active
000000000130;Camila Miranda;11/01/1988;F;green;82-66-OC;Faro;15/10/2013;active
000000000131;Kévim Guerreiro;16/09/1992;M;green;31-29-NJ;Lisboa;20/03/2017;active
000000000132;Luna Valente;26/06/1972;F;premium;PM-01-FH;Setúbal;26/01/2013;active
000000000133;Rafael Araújo-Soares;04/09/1958;M;basic;28-WM-38;Porto;03/11/2010;active
000000000134;Yasmin Leal;25/10/1990;F;green;74-AF-75;Lisboa;13/12/2017;inactive
000000000135;André Leal;01/01/1966;M;basic;OK-26-59;Faro;01/02/2015;active
000000000136;Leonor Pinho-Macedo;20/03/1973;F;green;16-VB-68;Faro;25/07/2020;active
000000000137;Violeta Barros;25/11/1965;F;premium;50-01-QU;Faro;15/09/2016;active
000000000138;Soraia Sousa;22/11/1955;F;basic;LZ-21-98;Setúbal;30/05/2017;active
000000000139;Micael Pires;18/12/1989;M;green;QP-42-76;Lisboa;29/04/2017;active
000000000140;Bernardo Alves;01/12/1970;M;green;JL-72-19;Porto;29/03/2010;active
000000000141;João do Sá;08/08/1980;M;basic;59-HV-91;Porto;13/03/2016;active
000000000142;Mateus Moura;24/06/1984;M;premium;80-PJ-00;Setúbal;12/01/2014;inactive
000000000143;Alexandre Simões;02/11/1987;M;premium;IC-32-QJ;Braga;02/01/2015;active
000000000144;Jaime Torres;10/07/1973;M;basic;SY-44-07;Faro;23/04/2015;active
000000000145;Rúben Faria;01/04/1977;M;premium;NF-80-29;Lisboa;18/02/2010;active
000000000146;Nádia da Baptista;31/08/1963;F;green;90-20-LH;Lisboa;03/08/2016;active
000000000147;Mariana Costa;26/07/1990;F;basic;QU-44-39;Braga;28/03/2018;active
000000000148;Kyara Castro;06/02/1985;F;premium;34-68-EV;Porto;12/01/2015;active
000000000149;Wilson Pacheco;04/09/1950;M;green;22-QE-23;Braga;04/05/2021;active
000000000150;Catarina-Patrícia Azevedo;27/12/1982;F;green;50-PF-33;Lisboa;31/05/2018;active
000000000151;Benedita da Sousa;21/03/1961;F;green;31-TT-21;Porto;01/04/2016;active
000000000152;Carminho Almeida;11/07/1974;F;basic;17-40-HV;Porto;01/03/2017;active
000000000153;Petra Alves;18/09/1994;F;basic;YL-26-68;Lisboa;05/08/2013;active
000000000154;Bruno Assunção;29/07/1985;M;green;EM-87-ES;Braga;27/09/2020;active
000000000155;Lúcia Castro;30/01/1967;F;green;11-30-OK;Lisboa;23/12/2010;active
000000000156;Sandro Ferreira;09/07/1981;M;basic;64-QH-08;Setúbal;25/02/2011;active
000000000157;Margarida Baptista;12/04/1984;F;basic;AS-91-BH;Faro;01/05/2017;active
000000000158;Lúcia-Fabiana Fonseca;08/07/1992;F;premium;ZS-41-49;Porto;05/12/2019;active
000000000159;Diana-Miriam Nunes;09/06/1998;F;green;10-PO-87;Braga;01/01/2017;active
000000000160;Mélanie Pacheco;12/03/1987;F;basic;SO-49-KU;Setúbal;22/10/2012;active
000000000161;Gustavo Garcia;02/08/1956;M;basic;02-NZ-03;Braga;18/02/2012;active
000000000162;Alexandra-Helena Mota;29/07/1958;F;basic;48-XV-59;Porto;03/09/2020;active
000000000163;Joana Vaz;10/08/1960;F;green;KR-69-QZ;Braga;04/10/2011;active
000000000164;Alícia Cruz;03/01/1961;F;green;96-GP-45;Porto;31/10/2010;active
000000000165;Carlota de Paiva;25/07/1957;F;green;KQ-16-EU;Braga;02/07/2018;active
000000000166;Vicente Branco;20/06/1973;M;premium;65-16-MW;Lisboa;04/06/2011;active
000000000167;Bernardo Garcia;24/07/1967;M;green;00-21-UW;Braga;23/01/2021;active
000000000168;Bianca Silva;03/03/1976;F;basic;RB-65-MF;Setúbal;13/02/2019;active
000000000169;Artur Gomes;18/09/1988;M;green;SL-42-JO;Faro;20/12/2021;active
000000000170;Daniela Paiva;24/11/1977;F;green;40-NU-79;Porto;12/07/2015;active
000000000171;Martim Mendes;22/10/1956;M;premium;DQ-01-WB;Porto;03/12/2019;active
000000000172;Sérgio Lima;10/09/1964;M;green;33-47-DA;Braga;18/09/2018;active
000000000173;Alícia Jesus;29/06/1979;F;green;KK-06-06;Porto;29/11/2012;active
000000000174;Mara Guerreiro;04/11/1994;F;basic;09-36-EG;Braga;24/04/2021;active
000000000175;Mafalda Matias;20/05/1982;F;basic;72-69-EA;Setúbal;27/07/2019;active
000000000176;Raquel Ramos;02/11/1998;F;basic;69-XT-31;Braga;14/05/2019;active
000000000177;Eduardo Jesus;27/09/1995;M;green;36-56-UY;Lisboa;05/07/2016;active
000000000178;Tiago do Tavares;30/08/1983;M;premium;XG-90-86;Porto;15/05/2019;active
000000000179;Ângelo Assunção;21/01/1965;M;green;61-85-IZ;Lisboa;30/03/2012;active
000000000180;Erica Azevedo;04/06/1988;F;green;AE-80-DW;Porto;01/04/2021;active
000000000181;Enzo de Pereira;03/03/1993;M;premium;33-LM-08;Lisboa;20/07/2015;inactive
000000000182;Emanuel Alves;24/01/1968;M;basic;24-19-MC;Setúbal;10/02/2014;inactive
000000000183;Salvador de Esteves;23/08/1952;M;green;SP-56-90;Faro;11/05/2016;active
000000000184;Diana-Rafaela Silva;07/11/1976;F;green;LU-87-UU;Faro;29/09/2021;active
000000000185;Gil Domingues;26/01/1966;M;green;WS-61-26;Setúbal;16/04/2016;active
000000000186;Carolina-Mara Mota;13/11/1989;F;basic;03-IQ-45;Braga;09/10/2021;inactive
000000000187;Frederico Nascimento;03/10/1965;M;green;99-GO-48;Faro;21/06/2014;inactive
000000000188;Rui Brito;20/08/1977;M;green;89-12-YG;Lisboa;11/01/2015;active
000000000189;Lisandro do Reis;09/02/1973;M;basic;04-AX-07;Faro;14/10/2021;active
000000000190;Joel Machado;21/04/1959;M;basic;MP-98-BE;Braga;02/02/2015;active
000000000191;Carolina Marques;11/06/1975;F;premium;22-CB-37;Lisboa;13/07/2010;active
000000000192;Lisandro Matos;25/10/1973;M;green;22-NB-54;Braga;05/11/2013;active
000000000193;Eduardo Cruz;01/06/1998;M;basic;DH-28-OL;Lisboa;03/12/2019;inactive
000000000194;Beatriz Cruz;12/12/1955;F;green;75-57-VL;Porto;28/12/2012;active
000000000195;Nelson Matias;18/02/1985;M;premium;JG-36-QX;Setúbal;15/11/2019;active
000000000196;Ema Barbosa;17/07/1959;F;premium;43-TF-55;Faro;01/06/2015;active
000000000197;Alice Martins;02/06/1955;F;basic;35-KI-86;Porto;13/05/2013;active
000000000198;Mara Fonseca;30/06/1988;F;basic;RT-47-FD;Braga;01/02/2018;active
000000000199;Gonçalo Cunha;19/11/1990;M;premium;GM-14-IY;Faro;20/02/2010;active
000000000200;Francisco Sá;05/04/1993;M;basic;74-44-QX;Faro;05/12/2017;active
000000000201;Diogo Alves;08/06/1951;M;premium;EV-04-BO;Lisboa;24/02/2020;active
000000000202;Gabriel Andrade-Almeida;18/08/1984;M;green;TR-61-23;Porto;17/10/2013;active
000000000203;Soraia Barbosa;19/09/1976;F;premium;92-72-YO;Braga;06/08/2015;active
000000000204;Isabela Carneiro;25/11/1958;F;green;GV-79-ZL;Braga;06/05/2017;active
000000000205;Vasco Ferreira;01/07/1953;M;green;30-SV-10;Porto;09/02/2017;active
000000000206;Nuno Esteves;14/03/1950;M;premium;69-MO-67;Porto;15/11/2011;active
000000000207;Ricardo Mota-Mendes;04/12/1987;M;premium;YT-23-MH;Setúbal;31/03/2016;active
000000000208;Kyara Pacheco-Jesus;24/09/1982;F;green;29-53-SF;Porto;26/10/2015;active
000000000209;Mário Matos;15/08/1969;M;basic;WK-14-93;Porto;05/10/2020;active
000000000210;Lucas Jesus;31/12/1995;M;basic;85-21-RB;Setúbal;20/05/2014;active
000000000211;Emanuel Martins;17/08/1987;M;basic;FI-23-KK;Braga;07/11/2017;active
000000000212;Andreia Henriques;02/12/1953;F;premium;57-29-PX;Porto;17/11/2016;active
000000000213;Edgar Marques;13/04/1967;M;green;11-PT-83;Setúbal;11/09/2018;active
000000000214;Isabel Cardoso;14/07/1986;F;basic;41-17-AS;Braga;17/11/2016;active
000000000215;Gabriel Barros;31/01/1959;M;premium;CO-02-BH;Braga;15/12/2014;active
000000000216;Marcos Silva;26/09/1991;M;green;AS-58-QQ;Porto;18/02/2020;inactive
000000000217;Joaquim Cardoso;30/01/1964;M;premium;WV-51-KJ;Setúbal;03/11/2010;inactive
000000000218;Madalena Neto;02/06/1996;F;premium;AQ-85-92;Braga;20/02/2015;active
000000000219;Lúcia Santos;18/10/1973;F;green;RJ-62-46;Lisboa;20/01/2018;active
000000000220;Melissa Magalhães;28/07/1955;F;green;62-BV-27;Braga;16/11/2019;active
000000000221;Pedro Vaz;29/08/1955;M;premium;75-UC-68;Porto;20/11/2014;active
000000000222;Eduardo Vaz-Branco;27/08/1969;M;premium;32-58-JT;Porto;04/02/2013;active
000000000223;Eduardo Carvalho;12/10/1980;M;green;VQ-19-29;Setúbal;13/05/2018;active
000000000224;Ângela Vieira;15/09/1963;F;green;IA-95-WR;Braga;03/08/2018;active
000000000225;Filipa Monteiro;26/11/1975;F;premium;78-OB-73;Setúbal;04/12/2012;active
000000000226;Naiara Ferreira;19/05/1979;F;basic;EQ-27-AI;Lisboa;04/08/2014;active
000000000227;Bruna Neto-Carvalho;15/10/1950;F;basic;VY-16-86;Lisboa;04/02/2020;active
000000000228;Valentim Nogueira;03/05/1957;M;green;VM-17-VO;Porto;08/11/2018;active
000000000229;Margarida Neto;28/08/1960;F;green;57-40-XW;Porto;21/02/2013;active
000000000230;Naiara de Santos;29/03/1979;F;premium;88-89-DR;Braga;09/04/2020;active
000000000231;Alexandre Nunes;09/10/1962;M;green;52-BJ-45;Faro;29/08/2011;active
000000000232;Gonçalo Figueiredo;31/01/1954;M;basic;EX-73-16;Braga;07/02/2012;active
000000000233;Samuel Lopes;31/12/1972;M;green;KC-56-20;Porto;25/03/2018;active
000000000234;Jéssica Fernandes;15/09/1960;F;premium;VV-79-61;Porto;25/05/2017;active
000000000235;Rafael Martins;16/02/1953;M;premium;11-RC-98;Setúbal;24/07/2017;active
000000000236;Gonçalo Borges-Brito;17/04/1953;M;basic;73-TU-00;Setúbal;30/12/2019;active
000000000237;Igor Batista;31/03/1979;M;premium;42-RC-06;Braga;23/09/2013;active
000000000238;Henrique Moreira;15/07/1959;M;basic;58-BD-35;Setúbal;29/11/2021;active
000000000239;Melissa Antunes-Gonçalves;12/10/1956;F;premium;00-38-ND;Setúbal;20/03/2015;active
000000000240;Daniela Mendes;10/09/1987;F;premium;83-LX-15;Braga;16/09/2012;active
000000000241;Tomé Maia;01/02/1991;M;premium;98-OT-41;Braga;04/02/2018;active
000000000242;Alexandre Carvalho;13/07/1985;M;basic;36-LN-84;Faro;06/02/2013;inactive
000000000243;Alice Gonçalves;25/02/1982;F;basic;OD-82-GC;Lisboa;05/03/2016;active
000000000244;Bruna Mota;14/10/1964;F;premium;71-AE-92;Setúbal;26/05/2010;active
000000000245;Flor Maia;04/03/1985;F;premium;20-09-BM;Setúbal;06/03/2011;active
000000000246;Ricardo Ferreira;21/09/1966;M;green;PD-40-OG;Porto;14/10/2014;active
000000000247;Jéssica Carneiro-Vaz;12/06/1965;F;green;39-BX-04;Setúbal;31/03/2020;active
000000000248;Tomé Campos;05/02/1966;M;basic;42-TL-69;Setúbal;15/11/2019;active
000000000249;Lara Faria;26/09/1981;F;basic;RB-51-38;Setúbal;19/08/2011;active
000000000250;Luca Abreu;04/02/1966;M;premium;76-90-HN;Braga;08/05/2012;active
000000000251;Renato Correia;13/12/1956;M;premium;77-RI-51;Faro;07/02/2015;active
000000000252;Margarida Esteves-Sousa;08/05/1981;F;premium;47-TK-16;Lisboa;29/10/2015;active
000000000253;Miguel Alves;09/12/1956;M;premium;VL-69-00;Lisboa;24/11/2013;active
000000000254;Caetana Gaspar-Valente;23/10/1950;F;green;93-XZ-52;Lisboa;11/03/2010;active
000000000255;Sandro Loureiro;02/09/1983;M;premium;76-UY-30;Setúbal;17/08/2016;active
000000000256;Vasco Monteiro;21/09/1990;M;green;96-82-TT;Setúbal;13/03/2014;active
000000000257;Valentim Guerreiro;19/10/1969;M;premium;96-LS-13;Faro;21/02/2021;active
000000000258;Mateus Gaspar;23/04/1952;M;green;96-11-SW;Lisboa;26/04/2011;active
000000000259;Duarte Vicente;25/12/2000;M;premium;SK-46-45;Porto;31/08/2020;active
000000000260;Brian Esteves;28/06/1983;M;premium;NY-11-MB;Faro;23/11/2012;active
000000000261;Duarte Martins;03/05/1983;M;basic;FL-35-59;Porto;08/04/2014;active
000000000262;Valentina-Vera Soares;10/10/1978;F;premium;RC-69-36;Faro;12/04/2019;active
000000000263;Frederico Borges;29/05/1978;M;green;KC-25-KG;Braga;04/05/2016;active
000000000264;Madalena-Alice Brito;06/09/1969;F;green;19-UM-25;Faro;24/05/2013;active
000000000265;César Domingues;21/03/1964;M;premium;XZ-15-94;Lisboa;27/11/2016;active
000000000266;Enzo Oliveira;22/08/1963;M;basic;27-24-ZP;Setúbal;15/02/2011;active
000000000267;Soraia Mendes;28/06/1991;F;basic;EU-35-03;Braga;16/05/2010;active
000000000268;Santiago Brito;04/06/1990;M;green;BN-87-YS;Lisboa;20/06/2011;active
000000000269;Leandro Morais;23/07/1988;M;green;RT-77-NM;Lisboa;26/03/2018;active
000000000270;Nádia Melo;02/09/1973;F;basic;PS-49-SX;Setúbal;15/02/2012;active
000000000271;Victória Magalhães;26/06/1956;F;green;07-DS-77;Porto;01/03/2017;inactive
000000000272;Tiago Coelho;26/10/1967;M;green;HE-18-SO;Setúbal;09/04/2013;active
000000000273;Luísa Ramos;03/07/1971;F;premium;04-PZ-47;Braga;22/11/2016;active
000000000274;Carlota Fonseca-Simões;27/08/1976;F;basic;47-UM-46;Porto;30/06/2013;active
000000000275;Frederico Barbosa;26/08/1970;M;basic;19-80-DR;Setúbal;21/12/2016;inactive
000000000276;Maria Oliveira;05/03/1957;F;premium;JE-32-PE;Braga;13/12/2014;active
000000000277;Nicole Brito;29/07/1979;F;basic;03-VD-89;Setúbal;22/01/2018;active
000000000278;Artur Freitas;14/02/1970;M;basic;27-SP-67;Braga;20/02/2010;active
000000000279;Gabriel Borges;09/02/1980;M;basic;65-57-YG;Lisboa;29/12/2021;active
000000000280;Henrique Reis;19/08/1990;M;basic;IU-06-95;Faro;28/11/2015;active
000000000281;Inês Macedo;09/12/1993;F;green;65-92-HC;Setúbal;04/08/2016;active
000000000282;Samuel Andrade;05/02/1985;M;green;ET-75-RC;Faro;16/10/2015;active
000000000283;Teresa-Débora Rocha;05/09/1971;F;basic;GD-63-EW;Faro;11/02/2011;active
000000000284;Jaime Ramos;06/05/1956;M;green;LX-01-19;Faro;25/08/2015;active
000000000285;Victória de Gomes;14/11/1967;F;premium;49-NP-65;Lisboa;11/04/2010;active
000000000286;Gonçalo Pinheiro;16/06/1974;M;basic;65-CJ-68;Braga;15/04/2018;active
000000000287;David do Valente;20/11/1975;M;basic;ZM-27-17;Setúbal;19/12/2015;active
000000000288;Ângela Moura;13/11/1985;F;green;93-QP-30;Porto;13/03/2013;active
000000000289;Vera Abreu;05/02/1971;F;premium;OL-25-HH;Porto;03/01/2014;active
000000000290;Rafael Ribeiro;03/06/1955;M;basic;KH-16-22;Setúbal;08/11/2012;active
000000000291;Laura Lima;16/04/1960;F;basic;AU-62-79;Faro;10/02/2017;active
000000000292;Brian Branco-Pereira;06/03/1984;M;premium;FP-13-25;Faro;16/04/2021;active
000000000293;Núria Pires;02/05/1969;F;green;76-21-WT;Faro;29/01/2012;active
000000000294;Pedro Fernandes;05/11/1957;M;premium;17-UR-44;Faro;01/01/2013;active
